bairro_origem,bairro_destino,logradouro,observacao,peso
Parnamirim,Casa Amarela,Rua Engenheiro Clóvis Castro,,2.28
Santo Antonio,Boa Vista,Rua Clube Náutico Capibaribe,,2.28
Vasco Da Gama,Brejo De Beberibe,Rua José Rebouças,,2.17
Linha Do Tiro,Beberibe,Rua Alto dos Coqueiros,,2.22
Mangueira,Mustardinha,Rua Coração de Jesus,,2.2
Soledade,Boa Vista,Rua Corredor do Bispo,,2.21
Casa Amarela,Alto Do Mandu,Rua Coruripe,,2.12
Ponto De Parada,Rosarinho,Rua Couto Magalhães,,2.19
Encruzilhada,Campo Grande,Rua Cristóvão Jaques,,2.2
Madalena,Torre,Rua Davino Pontual,,2.18
Madalena,Zumbi,Rua Eduardo Antônio,,2.19
Linha Do Tiro,Dois Unidos,Rua Eládio Camboim,,2.18
Gracas,Espinheiro,Rua Santo Elias,,2.15
Parnamirim,Poco,Estrada do Encanamento,,1.72
Casa Forte,Casa Amarela,Rua Ernesto Rufino,,2.18
Ilha Joana Bezerra,Sao Jose,Rua Cabo Eutrópio,,2.17
Brejo De Beberibe,Passarinho,Rua da Amizade,,2.14
Ilha Do Retiro,Prado,Rua Padre Gabriel Mousinho,,2.26
Ilha Do Leite,Boa Vista,Rua Visconde de Goiana,,2.22
Tamarineira,Casa Amarela,Rua Guedes Pereira,,2.18
Tamarineira,Alto Jose Do Pinho,Rua Guimarães Peixoto,,2.21
Jaqueira,Tamarineira,Rua Hoel Sette,,2.14
Espinheiro,Aflitos,Rua Barão de Itamaracá,,2.22
Parnamirim,Casa Forte,Rua Jayme Loyo,,2.14
Campo Grande,Arruda,Rua Jerônimo Vilela,,2.19
Parnamirim,Santana,Rua Joaquim Soares,,2.18
Paissandu,Boa Vista,Rua John Gustav Peter,,2.21
Santana,Casa Forte,Rua Laurindo Coelho,,2.19
Torroes,Iputinga,Rua Professor Joaquim Xavier de Brito,,2.37
Coelhos,Santo Antonio,Rua Doutor José Mariano,,2.23
Santana,Poco,Rua Dr Luiz Ribeiro Bastos,,2.26
Apipucos,Monteiro,Rua Mandacaru,,2.13
Torreao,Encruzilhada,Rua Padre Miguelinho,,2.2
San Martin,Curado,Rua Coronel Mizael de Mendonça,,2.3
Coqueiral,Sancho,Rua do Nascente,,2.15
Campina Do Barreto,Agua Fria,Rua Marcílio Dias,,2.17
Apipucos,Alto Do Mandu,Rua Massaranduba,,2.16
Jiquia,Mangueira,Rua Palestina,,2.13
Casa Amarela,Vasco Da Gama,Rua Paraisópolis,,2.16
Alto Do Mandu,Macaxeira,Rua Pau D`Arco,,2.14
Monteiro,Alto Do Mandu,Rua Siriji,,2.1
Campo Grande,Ponto De Parada,Rua Petronila Botelho,,2.21
Varzea,Caxanga,Rua Rodrigues Ferreira,,2.22
Mangueira,San Martin,Rua Tanguará,,2.12
