bairro_origem,bairro_destino,logradouro,observacao,peso 
Coqueiral,Totó,av.mascarenhas_de_moraes+r.totó,av = avenida; r = rua,3.0
Curado,Jardim São Paulo,av.mascarenhas_de_moraes,av = avenida,1.0
Curado,Sancho,av.mascarenhas_de_moraes,av = avenida,1.0
Curado,Tejipió,av.mascarenhas_de_moraes,av = avenida,1.0
Curado,Totó,av.mascarenhas_de_moraes+r.totó,av = avenida; r = rua,3.0
Jardim São Paulo,Sancho,av.mascarenhas_de_moraes,av = avenida,1.0
Jardim São Paulo,Tejipió,av.mascarenhas_de_moraes,av = avenida,1.0
Jardim São Paulo,Totó,av.mascarenhas_de_moraes+r.totó,av = avenida; r = rua,3.0
Sancho,Tejipió,av.mascarenhas_de_moraes,av = avenida,1.0
Sancho,Totó,av.mascarenhas_de_moraes+r.totó,av = avenida; r = rua,3.0
Tejipió,Totó,av.mascarenhas_de_moraes+r.totó,av = avenida; r = rua,3.0
Boa Viagem,Brasília Teimosa,av.cons.castro_alves+av.brigadeiro_campos,av = avenida,2.0
Boa Viagem,Imbiribeira,av.cons.castro_alves+av.mascarenhas_de_moraes,av = avenida,2.0
Boa Viagem,Ipsep,av.cons.castro_alves+av.mascarenhas_de_moraes,av = avenida,2.0
Boa Viagem,Pina,av.cons.castro_alves+av.herculano_bandeira,av = avenida,2.0
Brasília Teimosa,Imbiribeira,av.brigadeiro_campos+av.mascarenhas_de_moraes,av = avenida,2.0
Brasília Teimosa,Ipsep,av.brigadeiro_campos+av.mascarenhas_de_moraes,av = avenida,2.0
Brasília Teimosa,Pina,av.brigadeiro_campos+av.herculano_bandeira,av = avenida,2.0
Imbiribeira,Ipsep,av.mascarenhas_de_moraes,av = avenida,1.0
Imbiribeira,Pina,av.mascarenhas_de_moraes+av.herculano_bandeira,av = avenida,2.0
Ipsep,Pina,av.mascarenhas_de_moraes+av.herculano_bandeira,av = avenida,2.0
Ibura,Jordão,av.recife+av.prof.luiz_freire,av = avenida,2.0
Ibura,Cohab,av.recife+av.prof.luiz_freire,av = avenida,2.0
Jordão,Cohab,av.recife+av.prof.luiz_freire,av = avenida,2.0
Recife,Aflitos,pe-001+av.norte_miguel_arraes_de_alencar,av = avenida;  pe = rodovia pe,2.0
Recife,Caxangá,av.norte_miguel_arraes_de_alencar+av.caxangá,av = avenida,2.0
Recife,Água Fria,r.do_sol+r.siqueira_campos+av.norte_miguel_arraes_de_alencar,av = avenida; r = rua,5.0
Recife,Engenho do Meio,av.cais_do_apolo+ponte_buarque_de_macedo+av.caxangá+r.sao_miguel,av = avenida; r = rua,4.5
Recife,Boa Viagem,av.nossa_sra_do_carmo+r.do_sol+av.mascarenhas_de_moraes+av.boa_viagem,av = avenida,5.0
Recife,Arruda,av.norte_miguel_arraes_de_alencar+av.joao_de_barros+r.dos_coelhos,av = avenida; r = rua,4.0
Recife,Cordeiro,av.caxangá+av.estrada_dos_remedios,av = avenida,2.5
Recife,Boa Vista,av.nossa_sra_do_carmo+ponte_de_recife+r.do_sol,av = avenida; r = rua,3.5
Recife,Alto José Bonifácio,av.norte_miguel_arraes_de_alencar+r.correa_de_brito,av = avenida; r = rua,3.0
Recife,Afogados,av.dantas_barreto+r.padre_muniz+av.conselheiro_aguiar,av = avenida; r = rua,4.0
Recife,Coelhos,r.do_sol+av.dantas_barreto+viaduto_das_quinze_pontes+av.martin_luther_king,av = avenida; r = rua,6.5
Recife,Brejo da Guabiraba,av.norte_miguel_arraes_de_alencar+av.dois_irmaos,av = avenida,2.0
Recife,Areias,av.brasilia+br-101+r.capitao_jose_leite,av = avenida; r = rua,4.0
Recife,Ibura,av.nossa_sra_do_carmo+av.mascarenhas_de_moraes+br-101,av = avenida,3.0
Recife,Barro,av.dantas_barreto+r.do_sol+av.nossa_sra_do_carmo+av.consolacao,av = avenida; r = rua,5.0
Aflitos,Caxangá,av.beira_rio+av.caxangá,av = avenida,2.0
Aflitos,Água Fria,r.siqueira_campos+av.joao_de_barros+r.dos_coelhos,av = avenida; r = rua,5.0
Aflitos,Engenho do Meio,av.caxangá+av.visconde_de_alagoinhas,av = avenida,2.0
Aflitos,Boa Viagem,av.joana_bezerra+av.agamenon_magalhaes+r.antonio_de_goes+r.padre_teotonio,av = avenida; r = rua,6.0
Aflitos,Arruda,av.norte_miguel_arraes_de_alencar+r.doutor_agostinho_campelo,av = avenida; r = rua,3.0
Aflitos,Cordeiro,av.caxangá+r.sao_miguel+r.josue_de_sousa,av = avenida; r = rua,5.0
Aflitos,Boa Vista,av.conselheiro_rodrigues_alves+r.conde_de_boa_vista,av = avenida; r = rua,3.0
Aflitos,Alto José Bonifácio,av.norte_miguel_arraes_de_alencar+r.correa_de_brito+r.joaquim_nabuco,av = avenida; r = rua,5.0
Aflitos,Afogados,av.visconde_de_alagoinhas+av.joana_bezerra+r.sao_miguel,av = avenida; r = rua,4.0
Aflitos,Coelhos,r.dos_coelhos+r.da_aurora+r.do_sol+av.dantas_barreto,av = avenida; r = rua,7.0
Aflitos,Brejo da Guabiraba,av.dois_irmaos+r.joao_de_barros+r.siqueira_campos,av = avenida; r = rua,5.0
Aflitos,Areias,av.beira_rio+av.caxangá+br-101,av = avenida,3.0
Aflitos,Ibura,av.visconde_de_alagoinhas+av.joana_bezerra+av.agamenon_magalhaes+br-101,av = avenida,4.0
Aflitos,Barro,av.joana_bezerra+av.agamenon_magalhaes+r.sao_miguel+br-101,av = avenida; r = rua,4.0
Caxangá,Água Fria,av.caxangá+av.norte_miguel_arraes_de_alencar,av = avenida,2.0
Caxangá,Engenho do Meio,av.caxangá+av.visconde_de_alagoinhas,av = avenida,2.0
Caxangá,Boa Viagem,av.caxangá+r.sao_miguel+av.visconde_de_alagoinhas+av.joana_bezerra,av = avenida,5.0
Caxangá,Arruda,av.caxangá+av.norte_miguel_arraes_de_alencar+r.doutor_agostinho_campelo,av = avenida; r = rua,4.0
Caxangá,Cordeiro,av.caxangá+r.sao_miguel+r.josue_de_sousa,av = avenida; r = rua,5.0
Caxangá,Boa Vista,av.caxangá+av.conselheiro_rodrigues_alves+av.visconde_de_alagoinhas,av = avenida,3.0
Caxangá,Alto José Bonifácio,av.norte_miguel_arraes_de_alencar+r.correa_de_brito,av = avenida; r = rua,3.0
Caxangá,Afogados,av.caxangá+r.sao_miguel+r.dr_francisco_de_assis+r.padre_muniz,av = avenida; r = rua,7.0
Caxangá,Coelhos,av.caxangá+av.visconde_de_alagoinhas+r.do_sol+av.dantas_barreto,av = avenida,5.0
Caxangá,Brejo da Guabiraba,av.dois_irmaos+r.do_sol+r.siqueira_campos+av.norte_miguel_arraes_de_alencar,av = avenida; r = rua,6.0
Caxangá,Areias,av.caxangá+br-101+r.capitao_jose_leite,av = avenida; r = rua,4.0
Caxangá,Ibura,av.caxangá+r.sao_miguel+br-101,av = avenida; r = rua,4.0
Caxangá,Barro,av.caxangá+r.sao_miguel+br-101,av = avenida; r = rua,4.0
Água Fria,Engenho do Meio,av.norte_miguel_arraes_de_alencar+av.caxangá+r.sao_miguel,av = avenida; r = rua,4.0
Água Fria,Boa Viagem,av.norte_miguel_arraes_de_alencar+av.joao_de_barros+av.agamenon_magalhaes+av.boa_viagem,av = avenida,4.0
Água Fria,Arruda,r.dos_coelhos+r.da_aurora+r.do_sol+av.norte_miguel_arraes_de_alencar,av = avenida; r = rua,7.0
Água Fria,Cordeiro,av.norte_miguel_arraes_de_alencar+av.caxangá,av = avenida; r = rua,2.0
Água Fria,Boa Vista,av.norte_miguel_arraes_de_alencar+av.joao_de_barros+r.dos_coelhos,av = avenida; r = rua,4.0
Água Fria,Alto José Bonifácio,av.norte_miguel_arraes_de_alencar+r.correa_de_brito+r.joaquim_nabuco,av = avenida; r = rua,5.0
Água Fria,Afogados,r.dos_coelhos+r.da_aurora+r.do_sol+av.dantas_barreto+r.padre_muniz+r.sao_miguel,r = rua; av = avenida,11.0
Água Fria,Coelhos,r.dos_coelhos+r.da_aurora+r.do_sol+av.dantas_barreto,r = rua; av = avenida,7.0
Água Fria,Brejo da Guabiraba,av.dois_irmaos+r.joao_de_barros+r.siqueira_campos+av.norte_miguel_arraes_de_alencar,av = avenida; r = rua,7.0
Água Fria,Areias,av.norte_miguel_arraes_de_alencar+av.caxangá+br-101,av = avenida; r = rua; br = rodovia BR,3.0
Água Fria,Ibura,av.norte_miguel_arraes_de_alencar+av.caxangá+r.sao_miguel+br-101,av = avenida; r = rua; br = rodovia BR,5.0
Água Fria,Barro,av.norte_miguel_arraes_de_alencar+av.caxangá+r.sao_miguel+br-101,av = avenida; r = rua; br = rodovia BR,5.0
Engenho do Meio,Boa Viagem,av.caxangá+r.sao_miguel+av.visconde_de_alagoinhas+av.joana_bezerra+av.agamenon_magalhaes,av = avenida; r = rua,6.0
Engenho do Meio,Arruda,av.caxangá+r.sao_miguel+r.doutor_agostinho_campelo,av = avenida; r = rua,5.0
Engenho do Meio,Cordeiro,av.caxangá+r.sao_miguel,av = avenida; r = rua,3.0
Engenho do Meio,Boa Vista,av.caxangá+av.conselheiro_rodrigues_alves,av = avenida,2.0
Engenho do Meio,Alto José Bonifácio,av.caxangá+av.norte_miguel_arraes_de_alencar+r.correa_de_brito,av = avenida; r = rua,4.0
Engenho do Meio,Afogados,av.caxangá+r.sao_miguel+r.dr_francisco_de_assis+r.padre_muniz+r.sao_miguel,av = avenida; r = rua,9.0
Engenho do Meio,Coelhos,av.caxangá+r.sao_miguel+r.josue_de_sousa,av = avenida; r = rua,5.0
Engenho do Meio,Brejo da Guabiraba,av.caxangá+av.norte_miguel_arraes_de_alencar+av.dois_irmaos,av = avenida; r = rua,3.0
Engenho do Meio,Areias,av.caxangá+br-101,av = avenida; r = rua; br = rodovia BR,2.0
Engenho do Meio,Ibura,av.caxangá+r.sao_miguel+br-101,av = avenida; r = rua; br = rodovia BR,4.0
Engenho do Meio,Barro,av.caxangá+r.sao_miguel+br-101,av = avenida; r = rua; br = rodovia BR,4.0
Boa Viagem,Arruda,av.agamenon_magalhaes+av.norte_miguel_arraes_de_alencar,av = avenida,2.0
Boa Viagem,Cordeiro,av.herculano_bandeira+av.joana_bezerra+av.agamenon_magalhaes+av.caxangá,av = avenida,4.0
Boa Viagem,Boa Vista,av.consolacao+r.do_sol+av.dantas_barreto,av = avenida; r = rua,4.0
Boa Viagem,Alto José Bonifácio,av.norte_miguel_arraes_de_alencar+r.correa_de_brito,av = avenida; r = rua,3.0
Boa Viagem,Afogados,av.mascarenhas_de_moraes+r.sao_miguel,av = avenida; r = rua,3.0
Boa Viagem,Coelhos,av.joana_bezerra+av.agamenon_magalhaes+r.do_sol,av = avenida; r = rua,4.0
Boa Viagem,Brejo da Guabiraba,av.norte_miguel_arraes_de_alencar+av.dois_irmaos,av = avenida,2.0
Boa Viagem,Areias,av.mascarenhas_de_moraes+r.sao_miguel+br-101+r.capitao_jose_leite,av = avenida; r = rua; br = rodovia BR,6.0
Boa Viagem,Ibura,av.mascarenhas_de_moraes+br-101,av = avenida; br = rodovia BR,2.0
Boa Viagem,Barro,av.mascarenhas_de_moraes+br-101+r.capitao_jose_leite,av = avenida; r = rua; br = rodovia BR,4.0
Arruda,Cordeiro,av.norte_miguel_arraes_de_alencar+av.caxangá+r.sao_miguel,av = avenida; r = rua,4.0
Arruda,Boa Vista,av.norte_miguel_arraes_de_alencar+av.joao_de_barros+r.dos_coelhos,av = avenida; r = rua,4.0
Arruda,Alto José Bonifácio,av.norte_miguel_arraes_de_alencar+r.correa_de_brito+r.joaquim_nabuco,av = avenida; r = rua,5.0
Arruda,Afogados,av.norte_miguel_arraes_de_alencar+r.siqueira_campos+r.padre_muniz+r.sao_miguel,av = avenida; r = rua; br = rodovia BR,7.0
Arruda,Coelhos,av.norte_miguel_arraes_de_alencar+r.joao_de_barros+r.dos_coelhos,av = avenida; r = rua,4.0
Arruda,Brejo da Guabiraba,av.norte_miguel_arraes_de_alencar+av.dois_irmaos,av = avenida; r = rua,2.0
Arruda,Areias,av.norte_miguel_arraes_de_alencar+av.caxangá+br-101,av = avenida; r = rua; br = rodovia BR,3.0
Arruda,Ibura,av.norte_miguel_arraes_de_alencar+av.caxangá+r.sao_miguel+br-101,av = avenida; r = rua; br = rodovia BR,5.0
Arruda,Barro,av.norte_miguel_arraes_de_alencar+av.caxangá+r.sao_miguel+br-101,av = avenida; r = rua; br = rodovia BR,5.0
Cordeiro,Boa Vista,av.caxangá+av.conselheiro_rodrigues_alves+av.visconde_de_alagoinhas,av = avenida,3.0
Cordeiro,Alto José Bonifácio,av.caxangá+av.norte_miguel_arraes_de_alencar+r.correa_de_brito,av = avenida; r = rua,4.0
Cordeiro,Afogados,av.caxangá+r.sao_miguel+r.dr_francisco_de_assis+r.padre_muniz+r.sao_miguel,av = avenida; r = rua,9.0
Cordeiro,Coelhos,av.caxangá+r.sao_miguel+r.josue_de_sousa,av = avenida; r = rua,5.0
Cordeiro,Brejo da Guabiraba,av.caxangá+av.norte_miguel_arraes_de_alencar+av.dois_irmaos,av = avenida; r = rua,3.0
Cordeiro,Areias,av.caxangá+r.sao_miguel+br-101+r.capitao_jose_leite,av = avenida; r = rua; br = rodovia BR,6.0
Cordeiro,Ibura,av.caxangá+r.sao_miguel+br-101,av = avenida; r = rua; br = rodovia BR,4.0
Cordeiro,Barro,av.caxangá+r.sao_miguel+br-101,av = avenida; r = rua; br = rodovia BR,4.0
Boa Vista,Alto José Bonifácio,av.norte_miguel_arraes_de_alencar+r.correa_de_brito,av = avenida; r = rua,3.0
Boa Vista,Afogados,av.dantas_barreto+r.do_sol+r.sao_miguel,av = avenida; r = rua,5.0
Boa Vista,Coelhos,r.dos_coelhos+r.da_aurora+r.do_sol+av.dantas_barreto,r = rua; av = avenida,7.0
Boa Vista,Brejo da Guabiraba,av.norte_miguel_arraes_de_alencar+av.dois_irmaos,av = avenida; r = rua,2.0
Boa Vista,Areias,av.caxangá+br-101+r.capitao_jose_leite,av = avenida; r = rua; br = rodovia BR,4.0
Boa Vista,Ibura,av.norte_miguel_arraes_de_alencar+av.caxangá+r.sao_miguel+br-101,av = avenida; r = rua; br = rodovia BR,5.0
Boa Vista,Barro,av.norte_miguel_arraes_de_alencar+av.caxangá+r.sao_miguel+br-101,av = avenida; r = rua; br = rodovia BR,5.0
Alto José Bonifácio,Afogados,av.norte_miguel_arraes_de_alencar+av.caxangá+r.sao_miguel+r.dr_francisco_de_assis,av = avenida; r = rua,7.0
Alto José Bonifácio,Coelhos,av.norte_miguel_arraes_de_alencar+av.joao_de_barros+r.dos_coelhos,av = avenida; r = rua,4.0
Alto José Bonifácio,Brejo da Guabiraba,av.dois_irmaos+r.joaquim_nabuco+av.norte_miguel_arraes_de_alencar,av = avenida; r = rua,4.0
Alto José Bonifácio,Areias,av.norte_miguel_arraes_de_alencar+av.caxangá+r.sao_miguel+br-101,av = avenida; r = rua; br = rodovia BR,5.0
Alto José Bonifácio,Ibura,av.norte_miguel_arraes_de_alencar+av.caxangá+r.sao_miguel+br-101,av = avenida; r = rua; br = rodovia BR,5.0
Alto José Bonifácio,Barro,av.norte_miguel_arraes_de_alencar+av.caxangá+r.sao_miguel+br-101,av = avenida; r = rua; br = rodovia BR,5.0
Afogados,Coelhos,r.sao_miguel+r.do_sol+av.dantas_barreto,r = rua; av = avenida,5.0
Afogados,Brejo da Guabiraba,av.brejo_da_guabiraba+r.dois_irmaos+av.norte_miguel_arraes_de_alencar,av = avenida; r = rua,4.0
Afogados,Areias,br-101+av.recife+r.capitao_jose_leite,av = avenida; r = rua; br = rodovia BR,4.0
Afogados,Ibura,r.sao_miguel+br-101,r = rua; br = rodovia BR,3.0
Afogados,Barro,r.sao_miguel+br-101,r = rua; br = rodovia BR,3.0
Coelhos,Brejo da Guabiraba,r.dos_coelhos+av.norte_miguel_arraes_de_alencar+av.dois_irmaos,r = rua; av = avenida,4.0
Coelhos,Areias,r.dos_coelhos+r.da_aurora+r.do_sol+av.nossa_sra_do_carmo+av.brasilia+br-101,r = rua; av = avenida; br = rodovia BR,9.0
Coelhos,Ibura,r.dos_coelhos+r.da_aurora+r.do_sol+av.consolacao+av.recife+br-101,r = rua; av = avenida; br = rodovia BR,9.0
Coelhos,Barro,av.dantas_barreto+r.padre_muniz+r.sao_miguel+br-101,av = avenida; r = rua; br = rodovia BR,6.0
Brejo da Guabiraba,Areias,av.dois_irmaos+av.norte_miguel_arraes_de_alencar+av.caxangá+br-101,av = avenida; r = rua; br = rodovia BR,4.0
Brejo da Guabiraba,Ibura,av.dois_irmaos+av.norte_miguel_arraes_de_alencar+av.caxangá+r.sao_miguel+br-101,av = avenida; r = rua; br = rodovia BR,6.0
Brejo da Guabiraba,Barro,av.dois_irmaos+av.norte_miguel_arraes_de_alencar+av.caxangá+r.sao_miguel+br-101,av = avenida; r = rua; br = rodovia BR,6.0
Areias,Ibura,av.recife+r.capitao_jose_leite+br-101,av = avenida; r = rua; br = rodovia BR,4.0
Areias,Barro,av.recife+r.capitao_jose_leite+br-101,av = avenida; r = rua; br = rodovia BR,4.0
Ibura,Barro,br-101+av.recife+r.capitao_jose_leite,av = avenida; r = rua; br = rodovia BR,4.0
