bairro_origem,bairro_destino,logradouro,observacao,peso 
Alto Santa Teresinha,Porto da Madeira,r.corrego_do_euclides+av.beberibe,r = rua; av = avenida,3.0
Alto Santa Teresinha,Beberibe,r.corrego_do_euclides+av.beberibe,r = rua; av = avenida,3.0
Alto Santa Teresinha,Dois Unidos,r.corrego_do_euclides+av.beberibe+av.hildebrando_vasconcelos,r = rua; av = avenida,4.0
Alto Santa Teresinha,Linha do Tiro,r.corrego_do_euclides+av.beberibe+av.hildebrando_vasconcelos,r = rua; av = avenida,4.0
Bomba do Hemetério,Cajueiro,av.anibal_benevolo+av.beberibe,av = avenida,2.0
Bomba do Hemetério,Fundão,av.anibal_benevolo+av.beberibe+av.norte,av = avenida,3.0
Bomba do Hemetério,Porto da Madeira,av.anibal_benevolo+av.beberibe,av = avenida,2.0
Bomba do Hemetério,Beberibe,av.anibal_benevolo+av.beberibe,av = avenida,2.0
Bomba do Hemetério,Dois Unidos,av.anibal_benevolo+av.beberibe+av.hildebrando_vasconcelos,av = avenida,3.0
Bomba do Hemetério,Linha do Tiro,av.anibal_benevolo+av.beberibe+av.hildebrando_vasconcelos,av = avenida,3.0
Cajueiro,Fundão,av.norte,av = avenida,1.0
Cajueiro,Porto da Madeira,av.beberibe,av = avenida,1.0
Cajueiro,Beberibe,av.beberibe,av = avenida,1.0
Cajueiro,Dois Unidos,av.beberibe+av.hildebrando_vasconcelos,av = avenida,2.0
Cajueiro,Linha do Tiro,av.beberibe+av.hildebrando_vasconcelos,av = avenida,2.0
Fundão,Porto da Madeira,av.norte+av.beberibe,av = avenida,2.0
Fundão,Beberibe,av.norte+av.beberibe,av = avenida,2.0
Fundão,Dois Unidos,av.norte+av.beberibe+av.hildebrando_vasconcelos,av = avenida,3.0
Fundão,Linha do Tiro,av.norte+av.beberibe+av.hildebrando_vasconcelos,av = avenida,3.0
Porto da Madeira,Beberibe,av.beberibe,av = avenida,1.0
Porto da Madeira,Dois Unidos,av.beberibe+av.hildebrando_vasconcelos,av = avenida,2.0
Porto da Madeira,Linha do Tiro,av.beberibe+av.hildebrando_vasconcelos,av = avenida,2.0
Beberibe,Dois Unidos,av.hildebrando_vasconcelos,av = avenida,1.0
Beberibe,Linha do Tiro,av.hildebrando_vasconcelos,av = avenida,1.0
Dois Unidos,Linha do Tiro,av.hildebrando_vasconcelos,av = avenida,1.0
Aflitos,Alto do Mandu,av.norte+av.santos_dumont,av = avenida,2.0
Aflitos,Apipucos,r. dos aflitos + r. alvares de azevedo + av. 17 de agosto,av= avenida ; r=rua,4.0
Aflitos,Casa Amarela,r.manuel_de_carvalho+av.santos_dumont+estr.do_arraial,av= avenida ; est=estrada,4.5
Aflitos,Casa Forte,r.manuel_de_carvalho+av.santos_dumont+av.conselheiro_rosa_e_silva+estr.do_arraial+r.da_harmonia,av=avenida; est= estrada,7.5
Aflitos,Derby,r.da_angustura+r.quarenta_e_oito+av.gov_agamenon_magalhaes,av= avenida; r=rua,5.0
Aflitos,Dois Irmãos,r.da_angustura+r.joao_de_barros+av.gov_agamenon_magalhaes+av.norte+av.professor_andrade_bezerra+br-101,av= avenida; r=rua,8.0
Aflitos,Espinheiro,r.da_angustura+r.quarenta_e_oito+av.joao_de_barros+r.do_espinheiro,r=rua; av= avenida,6.0
Aflitos,Graças,r.da_angustura+r.quarenta_e_oito+r.das_gracas,r=rua,6.0
Aflitos,Jaqueira,r.da_angustura+r.joao_de_barros+av.gov_agamenon_magalhaes+r.do_futuro,r=rua; av= avenida,6.0
Aflitos,Monteiro,r.da_angustura+r.rosarinho+estr.do_arraial,r=rua;est=estrada,5.5
